journey,step_id,phase,actor,action,type
arti_spettacolo,1,Avvio,[MIN],Pubblicazione Bando Generale e richiesta candidature sedi,common
arti_spettacolo,2,Avvio,[MIN],Decreto di assegnazione delle sezioni alle Istituzioni designate,common
arti_spettacolo,3,Organizzazione,[ISTO],Pubblicazione regolamento della sezione e/o sottosezione,common
arti_spettacolo,4,Organizzazione,[ISTO],Proposta di commissione giudicatrice,common
arti_spettacolo,5,Organizzazione,[MIN],Nomina le commissioni giudicatrici,common
arti_spettacolo,6,Adesione,[IST],Invia richiesta di adesione all'Istituzione Organizzatrice,common
arti_spettacolo,7,Adesione,[IST],Pubblicazione interna del bando e avvio procedure preselettive interne,common
arti_spettacolo,8,Candidatura,[STU],Modulo di iscrizione e produzione materiale da candidare per la preselezione nella propria Istituzione,common
arti_spettacolo,9,Candidatura,[IST],Selezione delle candidature e invio all'Istituzione Organizzatrice,common
arti_spettacolo,10,Preselezione,[ISTO],Organizzazione delle prove selettive,common
arti_spettacolo,11,Preselezione,[GIU],Valutazione remota video o audizione regionale,specific
arti_spettacolo,12,Preselezione,[ISTO],Pubblicazione elenco ammessi e invio convocazioni per le prove palco e montaggio scene,specific
arti_spettacolo,13,Selezione,[ISTO],Allestimento spazi e coordinamento risorse tecniche,common
arti_spettacolo,14,Selezione,[STU],"Arrivo in sede, setup tecnico (luci/audio) e prove spazi",specific
arti_spettacolo,15,Selezione,[STU],Performance live (Spettacolo) davanti alla giuria,specific
arti_spettacolo,16,Selezione,[GIU],"Valutazione delle performance, delle esecuzioni o dei progetti",common
arti_spettacolo,17,Selezione,[GIU],Proclamazione Vincitore Unico,common
arti_spettacolo,18,Premiazione,[ISTO],"Cerimonia di premiazione, Concerto di Gala o Inaugurazione Mostra",common
arti_spettacolo,19,Premiazione,[STU],"Fruizione premi accessori (borse studio, concerti premio, produzioni)",common
arti_spettacolo,20,Chiusura,[ISTO],Rendicontazione spese al Ministero entro 60 giorni,common
arti_visive,1,Avvio,[MIN],Pubblicazione Bando Generale e richiesta candidature sedi,common
arti_visive,2,Avvio,[MIN],Decreto di assegnazione delle sezioni alle Istituzioni designate,common
arti_visive,3,Organizzazione,[ISTO],Pubblicazione regolamento della sezione e/o sottosezione,common
arti_visive,4,Organizzazione,[ISTO],Proposta di commissione giudicatrice,common
arti_visive,5,Organizzazione,[MIN],Nomina le commissioni giudicatrici,common
arti_visive,6,Adesione,[IST],Invia richiesta di adesione all'Istituzione Organizzatrice,common
arti_visive,7,Adesione,[IST],Pubblicazione interna del bando e avvio procedure preselettive interne,common
arti_visive,8,Candidatura,[STU],Modulo di iscrizione e produzione materiale da candidare per la preselezione nella propria Istituzione,common
arti_visive,9,Candidatura,[IST],Selezione delle candidature e invio all'Istituzione Organizzatrice,common
arti_visive,10,Selezione,[ISTO],Organizzazione delle prove selettive,common
arti_visive,11,Selezione,[GIU],Valutazione remota delle candidature e selezione opere per la mostra,common
